machine,limits,benchmark,lower_is_better,repetition,result
"issdm-0","with_limits","stressng-matrix-add",false,"1",46366.692577
"issdm-0","with_limits","stressng-matrix-div",false,"1",31473.311846
"issdm-0","with_limits","stressng-matrix-frobenius",false,"1",47968.719911
"issdm-0","with_limits","stressng-matrix-mult",false,"1",91722.291168
"issdm-0","with_limits","stressng-matrix-prod",false,"1",396.526948
"issdm-0","with_limits","stressng-matrix-sub",false,"1",45397.068214
"issdm-0","with_limits","stressng-matrix-hadamard",false,"1",52384.094195
"issdm-0","with_limits","stressng-matrix-trans",false,"1",58985.816024
"issdm-1","with_limits","stressng-matrix-add",false,"1",56393.107895
"issdm-1","with_limits","stressng-matrix-div",false,"1",31484.855999
"issdm-1","with_limits","stressng-matrix-frobenius",false,"1",49195.343978
"issdm-1","with_limits","stressng-matrix-mult",false,"1",91666.778172
"issdm-1","with_limits","stressng-matrix-prod",false,"1",395.983837
"issdm-1","with_limits","stressng-matrix-sub",false,"1",46587.1575
"issdm-1","with_limits","stressng-matrix-hadamard",false,"1",55225.312138
"issdm-1","with_limits","stressng-matrix-trans",false,"1",60125.908539
"issdm-11","with_limits","stressng-matrix-add",false,"1",52127.957669
"issdm-11","with_limits","stressng-matrix-div",false,"1",31474.232973
"issdm-11","with_limits","stressng-matrix-frobenius",false,"1",49251.946319
"issdm-11","with_limits","stressng-matrix-mult",false,"1",91300.311848
"issdm-11","with_limits","stressng-matrix-prod",false,"1",397.459414
"issdm-11","with_limits","stressng-matrix-sub",false,"1",47479.541365
"issdm-11","with_limits","stressng-matrix-hadamard",false,"1",46352.804427
"issdm-11","with_limits","stressng-matrix-trans",false,"1",59085.079032
"issdm-14","with_limits","stressng-matrix-add",false,"1",47635.878735
"issdm-14","with_limits","stressng-matrix-div",false,"1",31484.799006
"issdm-14","with_limits","stressng-matrix-frobenius",false,"1",49273.216245
"issdm-14","with_limits","stressng-matrix-mult",false,"1",93429.044062
"issdm-14","with_limits","stressng-matrix-prod",false,"1",396.891006
"issdm-14","with_limits","stressng-matrix-sub",false,"1",55234.065049
"issdm-14","with_limits","stressng-matrix-hadamard",false,"1",54565.789696
"issdm-14","with_limits","stressng-matrix-trans",false,"1",58812.465939
"issdm-16","with_limits","stressng-matrix-add",false,"1",47426.20208
"issdm-16","with_limits","stressng-matrix-div",false,"1",31472.708561
