machine,limits,benchmark,lower_is_better,result
"192.168.140.81","with_limits","crafty",,"59.09"
"192.168.140.81","with_limits","stream-copy",,"3943.46"
"192.168.140.81","with_limits","stream-add",,"4111.40"
"192.168.140.81","with_limits","stream-scale",,"3749.34"
"192.168.140.81","with_limits","stream-triad",,"4210.84"
"192.168.140.81","with_limits","c-ray",,"89.16"
"192.168.140.81","with_limits","crafty",,"60.79"
"192.168.140.81","with_limits","stream-copy",,"3901.80"
"192.168.140.81","with_limits","stream-add",,"4121.18"
"192.168.140.81","with_limits","stream-scale",,"3740.82"
"192.168.140.81","with_limits","stream-triad",,"4205.96"
"192.168.140.81","with_limits","c-ray",,"89.04"
"192.168.140.81","with_limits","crafty",,"59.25"
"192.168.140.81","with_limits","stream-copy",,"3984.66"
"192.168.140.81","with_limits","stream-add",,"4125.14"
"192.168.140.81","with_limits","stream-scale",,"3763.20"
"192.168.140.81","with_limits","stream-triad",,"4219.34"
"192.168.140.81","with_limits","c-ray",,"89.22"
"192.168.140.81","with_limits","stressng-cpu-ackermann",false,5.905151
"192.168.140.81","with_limits","stressng-cpu-bitops",false,1056.454057
"192.168.140.81","with_limits","stressng-cpu-callfunc",false,91587.485209
"192.168.140.81","with_limits","stressng-cpu-cdouble",false,2501.211271
"192.168.140.81","with_limits","stressng-cpu-cfloat",false,1254.636177
"192.168.140.81","with_limits","stressng-cpu-clongdouble",false,289.657328
"192.168.140.81","with_limits","stressng-cpu-correlate",false,17.708652
"192.168.140.81","with_limits","stressng-cpu-crc16",false,64.885486
"192.168.140.81","with_limits","stressng-cpu-decimal32",false,616.642721
"192.168.140.81","with_limits","stressng-cpu-decimal64",false,662.593581
"192.168.140.81","with_limits","stressng-cpu-decimal128",false,84.491408
"192.168.140.81","with_limits","stressng-cpu-dither",false,37.329463
"192.168.140.81","with_limits","stressng-cpu-djb2a",false,35018.382844
"192.168.140.81","with_limits","stressng-cpu-double",false,2775.103044
"192.168.140.81","with_limits","stressng-cpu-euler",false,2638121.26119
"192.168.140.81","with_limits","stressng-cpu-explog",false,55.650293
"192.168.140.81","with_limits","stressng-cpu-fft",false,158.075407
"192.168.140.81","with_limits","stressng-cpu-fibonacci",false,6731476.73991
"192.168.140.81","with_limits","stressng-cpu-float",false,15023.112826
"192.168.140.81","with_limits","stressng-cpu-fnv1a",false,34797.323171
"192.168.140.81","with_limits","stressng-cpu-gamma",false,35.550158
"192.168.140.81","with_limits","stressng-cpu-gcd",false,1089.741698
"192.168.140.81","with_limits","stressng-cpu-gray",false,8868.817762
"192.168.140.81","with_limits","stressng-cpu-hamming",false,224.183586
"192.168.140.81","with_limits","stressng-cpu-hanoi",false,66.233785
"192.168.140.81","with_limits","stressng-cpu-hyperbolic",false,270.563851
"192.168.140.81","with_limits","stressng-cpu-idct",false,10026.360957
"192.168.140.81","with_limits","stressng-cpu-int128",false,2188.899113
"192.168.140.81","with_limits","stressng-cpu-int64",false,17079.233155
"192.168.140.81","with_limits","stressng-cpu-int32",false,17382.434812
"192.168.140.81","with_limits","stressng-cpu-int16",false,16851.454239
"192.168.140.81","with_limits","stressng-cpu-int8",false,13474.652366
"192.168.140.81","with_limits","stressng-cpu-int128float",false,2036.164804
"192.168.140.81","with_limits","stressng-cpu-int128double",false,1269.833576
"192.168.140.81","with_limits","stressng-cpu-int128longdouble",false,249.085979
"192.168.140.81","with_limits","stressng-cpu-int128decimal32",false,491.553339
"192.168.140.81","with_limits","stressng-cpu-int128decimal64",false,515.060344
"192.168.140.81","with_limits","stressng-cpu-int128decimal128",false,81.723662
"192.168.140.81","with_limits","stressng-cpu-int64float",false,10620.96052
"192.168.140.81","with_limits","stressng-cpu-int64double",false,2588.961113
"192.168.140.81","with_limits","stressng-cpu-int64longdouble",false,268.651481
"192.168.140.81","with_limits","stressng-cpu-int32float",false,11056.671702
"192.168.140.81","with_limits","stressng-cpu-int32double",false,2590.018896
"192.168.140.81","with_limits","stressng-cpu-int32longdouble",false,268.746383
"192.168.140.81","with_limits","stressng-cpu-jenkin",false,11956.263283
"192.168.140.81","with_limits","stressng-cpu-jmp",false,17678.283032
"192.168.140.81","with_limits","stressng-cpu-ln2",false,11119.766809
"192.168.140.81","with_limits","stressng-cpu-longdouble",false,272.03177
"192.168.140.81","with_limits","stressng-cpu-loop",false,8860.345207
"192.168.140.81","with_limits","stressng-cpu-matrixprod",false,48.671318
"192.168.140.81","with_limits","stressng-cpu-nsqrt",false,61.036663
"192.168.140.81","with_limits","stressng-cpu-omega",false,730080.972714
"192.168.140.81","with_limits","stressng-cpu-parity",false,7298.868503
"192.168.140.81","with_limits","stressng-cpu-phi",false,4937571.40743
"192.168.140.81","with_limits","stressng-cpu-pi",false,194796.056726
"192.168.140.81","with_limits","stressng-cpu-pjw",false,20403.002154
"192.168.140.81","with_limits","stressng-cpu-prime",false,2.863787
"192.168.140.81","with_limits","stressng-cpu-psi",false,446529.086998
"192.168.140.81","with_limits","stressng-cpu-queens",false,35.18562
"192.168.140.81","with_limits","stressng-cpu-rand",false,4780.17846
"192.168.140.81","with_limits","stressng-cpu-rand48",false,937.402042
"192.168.140.81","with_limits","stressng-cpu-rgb",false,20463.269767
"192.168.140.81","with_limits","stressng-cpu-sdbm",false,31769.727251
"192.168.140.81","with_limits","stressng-cpu-sieve",false,8.011837
"192.168.140.81","with_limits","stressng-cpu-sqrt",false,2305.509015
"192.168.140.81","with_limits","stressng-cpu-trig",false,189.546471
"192.168.140.81","with_limits","stressng-cpu-union",false,8819.55383
"192.168.140.81","with_limits","stressng-cpu-zeta",false,113.919038
"192.168.140.81","with_limits","stressng-cpu-af-alg",false,6405.814299
"192.168.140.81","with_limits","stressng-cpu-atomic",false,173407.909044
"192.168.140.81","with_limits","stressng-cpu-bsearch",false,151.160335
"192.168.140.81","with_limits","stressng-cpu-cpu",false,72.959223
"192.168.140.81","with_limits","stressng-cpu-crypt",false,52.464235
"192.168.140.81","with_limits","stressng-cpu-hsearch",false,1237.574389
"192.168.140.81","with_limits","stressng-cpu-longjmp",false,35912.897968
"192.168.140.81","with_limits","stressng-cpu-lsearch",false,2.800014
"192.168.140.81","with_limits","stressng-cpu-numa",false,24.58897
"192.168.140.81","with_limits","stressng-cpu-opcode",false,839.734332
"192.168.140.81","with_limits","stressng-cpu-qsort",false,2.898396
"192.168.140.81","with_limits","stressng-cpu-str",false,9485.471916
"192.168.140.81","with_limits","stressng-cpu-stream",false,12.544142
"192.168.140.81","with_limits","stressng-cpu-tsearch",false,6.069292
"192.168.140.81","with_limits","stressng-cpu-vecmath",false,928.164173
"192.168.140.81","with_limits","stressng-cpu-wcs",false,3785.563266
"192.168.140.81","with_limits","stressng-cpu-cache-cache",false,4.400025
"192.168.140.81","with_limits","stressng-cpu-cache-icache",false,291.663221
"192.168.140.81","with_limits","stressng-memory-atomic",false,173461.275266
"192.168.140.81","with_limits","stressng-memory-context",false,1310.112307
"192.168.140.81","with_limits","stressng-memory-full",false,54381.716031
"192.168.140.81","with_limits","stressng-memory-lockbus",false,437097.59532
"192.168.140.81","with_limits","stressng-memory-malloc",false,781722.14424
"192.168.140.81","with_limits","stressng-memory-matrix",false,1064.811703
"192.168.140.81","with_limits","stressng-memory-memcpy",false,404.250277
"192.168.140.81","with_limits","stressng-memory-memfd",false,2.886764
"192.168.140.81","with_limits","stressng-memory-mincore",false,12467.533465
"192.168.140.81","with_limits","stressng-memory-null",false,1836942.72871
"192.168.140.81","with_limits","stressng-memory-pipe",false,143627.773521
"192.168.140.81","with_limits","stressng-memory-remap",false,110.308806
"192.168.140.81","with_limits","stressng-memory-stack",false,0.44496
"192.168.140.81","with_limits","stressng-memory-stackmmap",false,0.199631
"192.168.140.81","with_limits","stressng-memory-str",false,9380.037984
"192.168.140.81","with_limits","stressng-memory-tlb-shootdown",false,346.556919
"192.168.140.81","with_limits","stressng-memory-vm",false,13830.623899
"192.168.140.81","with_limits","stressng-memory-vm-rw",false,39.719394
"192.168.140.81","with_limits","stressng-memory-zero",false,68596.916103
"192.168.140.81","with_limits","stressng-matrix-add",false,42427.890462
"192.168.140.81","with_limits","stressng-matrix-div",false,33410.990752
"192.168.140.81","with_limits","stressng-matrix-frobenius",false,16881.091362
"192.168.140.81","with_limits","stressng-matrix-mult",false,72922.408572
"192.168.140.81","with_limits","stressng-matrix-prod",false,110.845984
"192.168.140.81","with_limits","stressng-matrix-sub",false,40833.781357
"192.168.140.81","with_limits","stressng-matrix-hadamard",false,41611.987508
"192.168.140.81","with_limits","stressng-matrix-trans",false,16944.959777
