repetition,blksize,mode,benchmark,job,read_bw,write_bw
0,256k,randread,"fio","randread-sdb-256k-seq",100,0
0,256k,read,"fio","read-sdb-256k-seq",99,0
0,256k,write,"fio","write-sdb-256k-seq",0,100
0,4096k,randread,"fio","randread-sdb-4096k-seq",106,0
0,4096k,read,"fio","read-sdb-4096k-seq",90,0
0,4096k,write,"fio","write-sdb-4096k-seq",0,106
0,4k,randread,"fio","randread-sdb-4k-seq",99,0
0,4k,read,"fio","read-sdb-4k-seq",99,0
0,4k,write,"fio","write-sdb-4k-seq",0,99
1,256k,randread,"fio","randread-sdb-256k-seq",99,0
1,256k,read,"fio","read-sdb-256k-seq",99,0
1,256k,write,"fio","write-sdb-256k-seq",0,99
1,4096k,randread,"fio","randread-sdb-4096k-seq",106,0
1,4096k,read,"fio","read-sdb-4096k-seq",106,0
1,4096k,write,"fio","write-sdb-4096k-seq",0,106
1,4k,randread,"fio","randread-sdb-4k-seq",100,0
1,4k,read,"fio","read-sdb-4k-seq",99,0
1,4k,write,"fio","write-sdb-4k-seq",0,100
2,256k,randread,"fio","randread-sdb-256k-seq",99,0
2,256k,read,"fio","read-sdb-256k-seq",99,0
2,256k,write,"fio","write-sdb-256k-seq",0,100
2,4096k,randread,"fio","randread-sdb-4096k-seq",98,0
2,4096k,read,"fio","read-sdb-4096k-seq",90,0
2,4096k,write,"fio","write-sdb-4096k-seq",0,106
2,4k,randread,"fio","randread-sdb-4k-seq",99,0
2,4k,read,"fio","read-sdb-4k-seq",99,0
2,4k,write,"fio","write-sdb-4k-seq",0,100
3,256k,randread,"fio","randread-sdb-256k-seq",99,0
3,256k,read,"fio","read-sdb-256k-seq",99,0
3,256k,write,"fio","write-sdb-256k-seq",0,95
3,4096k,randread,"fio","randread-sdb-4096k-seq",106,0
3,4096k,read,"fio","read-sdb-4096k-seq",98,0
3,4096k,write,"fio","write-sdb-4096k-seq",0,106
3,4k,randread,"fio","randread-sdb-4k-seq",99,0
3,4k,read,"fio","read-sdb-4k-seq",99,0
3,4k,write,"fio","write-sdb-4k-seq",0,100
4,256k,randread,"fio","randread-sdb-256k-seq",99,0
4,256k,read,"fio","read-sdb-256k-seq",99,0
4,256k,write,"fio","write-sdb-256k-seq",0,100
4,4096k,randread,"fio","randread-sdb-4096k-seq",106,0
4,4096k,read,"fio","read-sdb-4096k-seq",98,0
4,4096k,write,"fio","write-sdb-4096k-seq",0,106
4,4k,randread,"fio","randread-sdb-4k-seq",99,0
4,4k,read,"fio","read-sdb-4k-seq",99,0
4,4k,write,"fio","write-sdb-4k-seq",0,99
