repetition,machine,benchmark,job,read_bw,write_bw,read_iops,write_iops,elapsed
5,issdm-47,"fio","rw-sdb-4k-seq",2990,2996,747.59,749.16,36
5,issdm-14,"fio","rw-sdb-4k-seq",2955,2954,738.78,738.51,36
5,issdm-38,"fio","rw-sdb-4k-seq",2929,2930,732.3,732.64,36
5,issdm-20,"fio","rw-sdb-4k-seq",3135,3130,783.75,782.58,36
5,issdm-27,"fio","rw-sdb-4k-seq",2934,2934,733.7,733.64,36
5,issdm-3,"fio","rw-sdb-4k-seq",3180,3180,795.25,795.15,36
5,issdm-16,"fio","rw-sdb-4k-seq",2938,2939,734.65,734.95,36
5,issdm-29,"fio","rw-sdb-4k-seq",2974,2973,743.68,743.35,36
5,issdm-1,"fio","rw-sdb-4k-seq",3154,3152,788.71,788.24,36
5,issdm-34,"fio","rw-sdb-4k-seq",2899,2903,724.77,725.8,36
5,issdm-11,"fio","rw-sdb-4k-seq",2936,2937,734.09,734.49,36
5,issdm-24,"fio","rw-sdb-4k-seq",2936,2936,734.12,734.18,36
5,issdm-0,"fio","rw-sdb-4k-seq",3072,3075,768.21,768.98,36
5,issdm-6,"fio","rw-sdb-4k-seq",3192,3188,798.03,797.16,36
5,issdm-40,"fio","rw-sdb-4k-seq",2873,2877,718.48,719.28,36
3,issdm-47,"fio","rw-sdb-4k-seq",3024,3028,756.08,757.22,36
3,issdm-14,"fio","rw-sdb-4k-seq",2965,2964,741.28,741.08,36
3,issdm-38,"fio","rw-sdb-4k-seq",2893,2897,723.49,724.29,36
3,issdm-20,"fio","rw-sdb-4k-seq",3182,3180,795.71,795.21,36
3,issdm-27,"fio","rw-sdb-4k-seq",2906,2907,726.58,726.84,36
3,issdm-3,"fio","rw-sdb-4k-seq",3129,3131,782.5,782.8,36
3,issdm-16,"fio","rw-sdb-4k-seq",2938,2938,734.65,734.62,36
3,issdm-29,"fio","rw-sdb-4k-seq",2926,2927,731.72,731.85,36
3,issdm-1,"fio","rw-sdb-4k-seq",3058,3062,764.74,765.67,36
3,issdm-34,"fio","rw-sdb-4k-seq",2926,2928,731.72,732.12,36
3,issdm-11,"fio","rw-sdb-4k-seq",2949,2948,737.36,737.06,36
3,issdm-24,"fio","rw-sdb-4k-seq",2922,2924,730.6,731.1,36
3,issdm-0,"fio","rw-sdb-4k-seq",3120,3116,780.04,779.17,36
3,issdm-6,"fio","rw-sdb-4k-seq",3118,3114,779.51,778.54,36
3,issdm-40,"fio","rw-sdb-4k-seq",2967,2970,741.88,742.74,36
4,issdm-47,"fio","rw-sdb-4k-seq",2884,2887,721.2,721.9,36
4,issdm-14,"fio","rw-sdb-4k-seq",2943,2944,735.95,736.18,36
4,issdm-38,"fio","rw-sdb-4k-seq",2936,2936,734.18,734.08,36
4,issdm-20,"fio","rw-sdb-4k-seq",3128,3126,782.04,781.6,36
4,issdm-27,"fio","rw-sdb-4k-seq",2926,2928,731.74,732.21,36
4,issdm-3,"fio","rw-sdb-4k-seq",3152,3149,788.02,787.39,36
4,issdm-16,"fio","rw-sdb-4k-seq",2957,2959,739.26,739.96,36
4,issdm-29,"fio","rw-sdb-4k-seq",2959,2958,739.88,739.64,36
4,issdm-1,"fio","rw-sdb-4k-seq",3089,3089,772.39,772.26,36
4,issdm-34,"fio","rw-sdb-4k-seq",2939,2937,734.81,734.31,36
4,issdm-11,"fio","rw-sdb-4k-seq",2925,2926,731.28,731.58,36
4,issdm-24,"fio","rw-sdb-4k-seq",2920,2916,730.11,729.18,36
4,issdm-0,"fio","rw-sdb-4k-seq",3022,3024,755.54,756.24,36
4,issdm-6,"fio","rw-sdb-4k-seq",3165,3162,791.31,790.68,36
4,issdm-40,"fio","rw-sdb-4k-seq",3035,3038,758.93,759.66,36
1,issdm-47,"fio","rw-sdb-4k-seq",3037,3045,759.41,761.27,36
1,issdm-14,"fio","rw-sdb-4k-seq",2917,2920,729.41,730.08,36
1,issdm-38,"fio","rw-sdb-4k-seq",2932,2934,733.24,733.51,36
1,issdm-20,"fio","rw-sdb-4k-seq",3194,3193,798.59,798.32,36
1,issdm-27,"fio","rw-sdb-4k-seq",2910,2913,727.52,728.31,36
1,issdm-3,"fio","rw-sdb-4k-seq",3175,3173,793.84,793.31,36
1,issdm-16,"fio","rw-sdb-4k-seq",2937,2937,734.25,734.38,36
1,issdm-29,"fio","rw-sdb-4k-seq",2982,2986,745.68,746.64,36
1,issdm-1,"fio","rw-sdb-4k-seq",2964,2967,741.19,741.75,36
1,issdm-34,"fio","rw-sdb-4k-seq",2892,2895,723.01,723.88,36
1,issdm-11,"fio","rw-sdb-4k-seq",2929,2930,732.42,732.72,36
1,issdm-24,"fio","rw-sdb-4k-seq",2968,2967,742.13,741.99,36
1,issdm-0,"fio","rw-sdb-4k-seq",3168,3164,792.07,791.2,36
1,issdm-6,"fio","rw-sdb-4k-seq",3206,3207,801.67,801.94,36
1,issdm-40,"fio","rw-sdb-4k-seq",3049,3054,762.39,763.59,36
2,issdm-47,"fio","rw-sdb-4k-seq",2976,2982,744.13,745.59,36
2,issdm-14,"fio","rw-sdb-4k-seq",2943,2944,735.85,736.02,36
