benchmark,machine,op,result
stressng-stream,dwill.soe.ucsc.edu,raw,5625589268.48
stressng-stream,rackform2,raw,2686976000.00
stressng-stream,scruffy.soe.ucsc.edu,raw,3668768194.56
stressng-stream,pl2,raw,3430856785.92
redisbench,dwill.soe.ucsc.edu,"SET","162707.45"

redisbench,dwill.soe.ucsc.edu,"GET","158591.70"

redisbench,dwill.soe.ucsc.edu,"LPUSH","168123.73"

redisbench,dwill.soe.ucsc.edu,"LPOP","166903.11"

redisbench,rackform2,"SET","97007.32"

redisbench,rackform2,"GET","100060.03"

redisbench,rackform2,"LPUSH","91882.20"

redisbench,rackform2,"LPOP","100356.26"

redisbench,scruffy.soe.ucsc.edu,"SET","111284.22"

redisbench,scruffy.soe.ucsc.edu,"GET","111049.41"

redisbench,scruffy.soe.ucsc.edu,"LPUSH","115841.30"

redisbench,scruffy.soe.ucsc.edu,"LPOP","106860.45"

redisbench,pl2,"SET","76769.54"

redisbench,pl2,"GET","72492.66"

redisbench,pl2,"LPUSH","69429.98"

redisbench,pl2,"LPOP","74621.30"

