benchmark,machine,op,result
stressng-stream,dwill.soe.ucsc.edu,raw,12545152778.24
stressng-stream,rackform2,raw,5957054627.84
stressng-stream,scruffy.soe.ucsc.edu,raw,9048267161.60
stressng-stream,pl2,raw,10954714644.48
stressng-stream,issdm-0,raw,2003577077.76
redisbench,dwill.soe.ucsc.edu,"SET","444148.38"

redisbench,dwill.soe.ucsc.edu,"GET","445732.12"

redisbench,dwill.soe.ucsc.edu,"LPUSH","464468.16"

redisbench,dwill.soe.ucsc.edu,"LPOP","464037.12"

redisbench,rackform2,"SET","227816.38"

redisbench,rackform2,"GET","222123.52"

redisbench,rackform2,"LPUSH","235017.62"

redisbench,rackform2,"LPOP","232666.36"

redisbench,scruffy.soe.ucsc.edu,"SET","287645.62"

redisbench,scruffy.soe.ucsc.edu,"GET","286491.91"

redisbench,scruffy.soe.ucsc.edu,"LPUSH","310752.03"

redisbench,scruffy.soe.ucsc.edu,"LPOP","305997.56"

redisbench,pl2,"SET","281293.94"

redisbench,pl2,"GET","271591.53"

redisbench,pl2,"LPUSH","289729.09"

redisbench,pl2,"LPOP","330033.00"

redisbench,issdm-0,"SET","78250.32"

redisbench,issdm-0,"GET","84033.62"

redisbench,issdm-0,"LPUSH","75757.58"

redisbench,issdm-0,"LPOP","76982.30"

